Jedek1	Jedek3	Jedek4	Jedek2	Jedek18	Jedek13	Jedek39	Jedek38	Jedek7	Jedek8	Jedek12	Jedek11	Jedek6	Jedek5	Jedek37	Jedek20	Jedek25	Jedek26	Jedek33	Jedek32	Jedek16	Jedek22	Jedek14	Jedek23	Jedek34	Jedek28	Jedek21	Jedek9	Jedek10	Jedek35	Jedek17	Jedek36	Jedek19	Jedek24	Jedek29	Jahai2	Jahai4	Jahai1	Jahai15	Jahai12	Jahai13	Jahai11	Jahai9	Jahai5	Jahai10	Jahai18	Jahai17	Jahai7	Jahai8
117	sintak	sintak	tarik	ʔoy	ʔoy	sumat	ʔaŋket	ʔaŋket	ʔaŋket	ʔoy	ʔoy	ʔaŋket	sintak	ʔoy	?	sintak	ʔaŋket	ʔaŋket	sintak	sintak	ʔaŋket	sintak	sintak	ʔaŋket	sintak	sintak	sɲɔh	ʔoy	ʔaŋket	sintak	ʔaŋket	sintak	sintak	sintak	ktel	sintak	sintak	ʔaŋket	sɲɔh	sɲɔh	ʔaŋket	jĩŋ	sɲɔh	?	ʔaŋket	sintak	sintak	sintak
118	ʔaŋket	sintak	ʔaŋket	ʔoy	ʔaŋket	ʔoy	sɲɔh	sintak	ʔaŋket	sintak	ʔoy	sintak	sintak	ʔoy	ʔaŋket	sintak	sintak	sintak	ʔaŋket	tarik	ʔoy	bwaŋ	ʔaŋket	ʔoy	sintak	sintak	sɲɔh	ʔaŋket	ʔoy	sintak	caduk	sintak	sintak	sintak	tarik	sintak	ʔaŋket	ʔoy	ʔaŋket	ʔoy	ʔaŋket	sintak	sintak	ʔoy	ʔaŋket	sintak	sintak	ʔaŋket
119	ʔaŋket	ʔaŋket	ʔaŋket	tjik	ʔaŋket	ʔaŋket	ʔaŋket	jruk	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	?	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	tjik	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	jĩŋ	ʔaŋket	jĩŋ	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket
120	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	tuh	tuh	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	tuh	cʔɨʔ	cʔɨʔ
122	?	ʔaŋket	?	?	ʔaŋket	?	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	?	ʔɛk	ʔaŋket	ʔaŋket	?	?	?	ʔaŋket	ʔaŋket	?	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	?	?	ʔaŋket	ʔaŋket	?	?	?	ʔaŋket	?	?	ʔaŋket	?	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	?	ʔaŋket	?	?	?	?
123	kluwə	?	?	ʔoy	?	tarik	?	?	tarik	sintak	?	?	sintak	kluwə	?	tarik	sintak	sintak	haŋkat	tarik	sintak	kluwə	?	sintak	?	?	?	?	sintak	?	?	?	?	?	tarik	tarik	?	?	sɲɔh	sɲɔh	?	?	?	?	?	?	sintak	tarik
124	buŋkɛ	haŋkat	buŋkɛ	buŋkɛ	buŋkɛ	kibuk	?	?	sintak	bliwĩs	buŋkɛ	haŋkat	buŋkɛ	kluwə	?	buŋkɛ	buŋkɛ	buŋkɛ	buŋkɛ	rndəm	buŋkɛ	kluwə	buŋkɛ	buŋkɛ	tijak	buŋkɛ	buŋkɛ	kluwə	?	?	?	buŋkɛ	?	?	biŋgaŋ	sintak	bliwĩs	?	jŋɔʔ	?	?	?	?	?	?	?	tjik	buŋkɛr
125	ʔoy	ʔoy	bukaʔ	ʔoy	ʔoy	ʔoy	ʔoy	ʔaŋket	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	sintak	ʔoy	ʔoy	ʔoy	ʔoy	bukaʔ	ʔoy	ʔoy	ʔoy	ʔoy	tijak	sintak	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔaŋket	bukaʔ	ʔoy	ʔoy	?	ʔoy	ʔoy	ʔoy
126	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	pcət	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	bwaŋ	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy
127	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔoy	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	taŋjĩŋ	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	tarik	ʔaŋket	saŋkut	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	jĩŋ	ʔaŋket	ʔaŋket	ʔaŋket	saŋkut	ʔaŋket	ʔaŋket
128	kuyak	ʔoy	ʔaŋket	ʔoy	ʔaŋket	ʔoy	ʔaŋket	bukaʔ	kuyak	ʔoy	kuyak	ʔoy	kuyak	kuyak	sintak	kuyak	suyak	ʔoy	ʔaŋket	bukaʔ	ʔoy	kuyak	kuyak	ʔaŋket	ʔaŋket	ʔoy	ʔaŋket	ʔaŋket	kuyak	ʔoy	ʔoy	ʔoy	kuyak	ʔoy	ʔaŋket	kuyak	kuyak	kuyak	sɲɔh	ʔaŋket	ʔoy	kuyak	kuyak	kuyak	ʔaŋket	ʔoy	kuyak	ʔaŋket
129a	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	tijak	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	haŋkat	ʔaŋket	ʔaŋket	tjik	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	?	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	haŋkat	ʔaŋket	tjik	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	jĩŋ	ʔaŋket	jĩŋ	ʔaŋket	haŋkat	ʔaŋket	ʔaŋket
129b	boh	boh	?	boh	?	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	?	boh	boh	?	boh	boh	boh	?	boh	simpən	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	?	boh	boh	boh	boh	boh	?	boh	boh
130	ʔaŋket	ʔaŋket	ʔaŋket	haŋkat	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	yɨy	ʔaŋket	ʔaŋket	haŋkat	ʔaŋket	jĩŋ	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	haŋkat	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	haŋkat	ʔaŋket	tjik	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	jĩŋ	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket
131a	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	bukaʔ	haŋkat	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	bukaʔ	ʔaŋket	?	ʔaŋket	?	tijak	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	tjik	tijak	ʔaŋket	ʔaŋket	?	ʔaŋket	?	ʔaŋket	bukaʔ	ʔaŋket	ʔoy	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket
131b	boh	boh	?	boh	?	?	?	boh	?	?	?	?	boh	boh	?	boh	boh	boh	boh	?	?	boh	boh	boh	boh	boh	boh	boh	?	boh	boh	boh	boh	boh	?	?	boh	boh	boh	boh	?	boh	?	boh	boh	?	boh	?
133	ʔoy	ʔoy	bukaʔ	ʔoy	ʔoy	ʔoy	ʔoy	bwaŋ	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	bukaʔ	bukaʔ	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	bukaʔ	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	bukaʔ	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy	ʔoy
135	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	lkaʔ	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	pgɛŋ	ʔaŋket	lkaʔ	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	lkaʔ	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	sintak	sintak	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	?	lkaʔ	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket
